chromosome,start,end,summit,peakName,untreated_GAF_intensity,RNAi_GAF_intensity,replicate_overlap,ChIPchip_overlap,number_GAGA_Jaspar,Jaspar_strand,Jaspar_hcGAF,location,total_GROseq_reads
chr2L,131371,132361,131965,MACS_peak_8-2,9804.27217,4675.25925,both replicates,yes,1,+,yes,promoter,48.00618879
chr2L,132371,132520,132455,MACS_peak_8-3,49.3347251,128.597778,replicate 1,yes,0,no element,no,genic,12.76139085
chr2L,158671,159121,158985,MACS_peak_9-1,385.143351,524.79643,none,yes,0,no element,no,promoter,55.76112279
chr2L,159131,159510,159250,MACS_peak_9-2,390.969608,235.806138,none,yes,1,+,yes,genic,86.56397079
chr2L,160321,161341,161060,MACS_peak_10-1,7611.07488,3406.51793,both replicates,no,1,-,no,genic,145.8032427
chr2L,161351,161781,161610,MACS_peak_10-2,2355.01834,838.314416,both replicates,no,0,no element,no,genic,38.95712279
chr2L,161791,162540,162035,MACS_peak_10-3,1864.58517,675.551337,replicate 1,no,2,+,no,genic,32.94247846
chr2L,165331,166010,165655,MACS_peak_11-1,750.027004,573.469434,none,no,0,no element,no,genic,15.7687131
chr2L,166141,167440,167025,MACS_peak_12-1,13078.6481,7508.83669,both replicates,no,4,-,no,genic,36.44772713
chr2L,168031,168231,168180,MACS_peak_13-1,78.4537377,11.6139963,replicate 1,no,0,no element,no,genic,20.14903584
chr2L,168241,168960,168495,MACS_peak_13-2,2058.15995,697.694711,both replicates,no,0,no element,no,genic,15.8180058
chr2L,176041,176700,176385,MACS_peak_14-1,882.723908,682.468944,replicate 1,no,0,no element,no,genic,15.23625849
chr2L,182461,183310,182875,MACS_peak_15-1,1301.41346,284.015143,replicate 1,no,0,no element,no,genic,54.77512869
chr2L,220351,220931,220635,MACS_peak_16-1,1676.23206,720.901896,both replicates,yes,1,-,yes,genic,9.754068598
chr2L,220941,221090,221015,MACS_peak_16-2,35.1797279,41.0658551,replicate 1,yes,0,no element,no,genic,9.243807346
chr2L,221591,223241,222215,MACS_peak_17-1,11604.7064,4803.64731,both replicates,yes,5,+,yes,promoter & genic,8.827225551
chr2L,223251,223671,223385,MACS_peak_17-2,822.524988,427.809755,replicate 1,yes,3,+,yes,genic,15.78843011
chr2L,223681,223741,223705,MACS_peak_17-3,79.0465286,268.636042,replicate 1,yes,0,no element,no,genic,32.70582689
chr2L,223751,224551,224105,MACS_peak_17-4,4175.22906,1532.29006,both replicates,yes,1,+,yes,genic,25.32804045
chr2L,224561,224970,224645,MACS_peak_17-5,533.454233,527.138242,replicate 1,yes,0,no element,no,genic,23.43244387
chr2L,245061,245710,245365,MACS_peak_18-1,639.924715,171.253083,none,yes,0,no element,no,genic,15.034135
chr2L,245971,246241,246120,MACS_peak_19-1,205.666745,383.659956,replicate 1,yes,0,no element,no,genic,20.50646634
chr2L,246251,247591,246745,MACS_peak_19-2,19026.4949,11418.0403,both replicates,yes,5,+,yes,genic,28.57939665
chr2L,247601,248061,247715,MACS_peak_19-3,909.022711,602.587063,replicate 1,yes,1,-,yes,genic,10.4171606
chr2L,248071,248581,248375,MACS_peak_19-4,2056.20886,874.975269,both replicates,yes,1,+,yes,genic,15.02427645
chr2L,248591,249001,248705,MACS_peak_19-5,1921.25195,828.46617,both replicates,yes,0,no element,no,genic,25.69532941
chr2L,249011,249761,249325,MACS_peak_19-6,14644.5283,8180.85478,both replicates,yes,2,+,yes,genic,32.89070949
chr2L,249771,249971,249845,MACS_peak_19-7,448.465029,139.977767,replicate 1,yes,0,no element,no,genic,32.05506951
chr2L,249981,250381,250145,MACS_peak_19-8,830.25109,350.569099,replicate 1,yes,0,no element,no,genic,60.53092813
chr2L,250391,251081,250545,MACS_peak_19-9,1735.07074,1330.31344,replicate 1,yes,0,no element,no,genic,109.5058701
chr2L,251091,251140,251095,MACS_peak_19-10,47.1108055,153.221058,none,no,0,no element,no,promoter,34.60389949
chr2L,280961,281411,281150,MACS_peak_20-1,380.896889,327.214828,none,no,0,no element,no,genic,7.481324449
chr2L,281421,282040,281740,MACS_peak_20-2,552.965472,313.192719,none,no,0,no element,no,genic,15.27816895
chr2L,305801,306001,305855,MACS_peak_21-1,141.252828,64.6459894,replicate 1,yes,0,no element,no,promoter,105.2907119
chr2L,306011,306731,306365,MACS_peak_21-2,4373.05971,1771.9133,both replicates,yes,4,-,yes,genic,11.35386215
chr2L,306741,307160,306795,MACS_peak_21-3,478.131195,320.638303,both replicates,yes,0,no element,no,genic,7.705641299
chr2L,309651,310630,310130,MACS_peak_22-1,4194.53116,2268.7208,both replicates,yes,2,+,yes,promoter & genic,26.09219401
chr2L,414061,414121,414075,MACS_peak_23-1,73.0256558,118.676737,replicate 1,no,0,no element,no,genic,13.67837535
chr2L,414131,414871,414495,MACS_peak_23-2,1718.80524,1013.21282,replicate 1,no,3,+,no,genic,12.12049216
chr2L,414881,415250,415045,MACS_peak_23-3,502.164013,289.798705,replicate 1,no,0,no element,no,promoter,18.29534963
chr2L,430371,430641,430510,MACS_peak_24-1,220.356157,273.192013,replicate 1,yes,0,no element,no,intergenic,0.3056615
chr2L,430651,431521,431145,MACS_peak_24-2,11067.0357,5935.76188,both replicates,yes,0,no element,no,promoter,399.3671973
chr2L,431531,432061,431800,MACS_peak_24-3,3207.07517,1304.42954,both replicates,yes,1,+,yes,genic,9.305434898
chr2L,432071,432240,432215,MACS_peak_24-4,24.9000614,55.4819554,replicate 1,yes,0,no element,no,genic,7.491182998
chr2L,434411,434591,434455,MACS_peak_25-1,94.1258195,142.462699,replicate 1,no,0,no element,no,genic,3.251356199
chr2L,434601,435110,434785,MACS_peak_25-2,864.664617,966.61961,replicate 1,yes,0,no element,no,genic,3.3228423
chr2L,435471,435681,435525,MACS_peak_26-1,45.5595094,154.378152,replicate 1,yes,0,no element,no,genic,4.994121999
chr2L,435691,436021,435825,MACS_peak_26-2,930.996926,501.796172,replicate 1,yes,0,no element,no,genic,5.371269599
chr2L,436031,436230,436160,MACS_peak_26-3,99.9460756,326.285857,replicate 1,yes,0,no element,no,genic,4.902918801
chr2L,470081,470331,470220,MACS_peak_27-1,165.341675,340.511585,replicate 1,yes,0,no element,no,intergenic,4.311312899
chr2L,470341,470681,470495,MACS_peak_27-2,675.284763,638.64202,replicate 1,yes,0,no element,no,intergenic,5.810044751
chr2L,470691,471291,471035,MACS_peak_27-3,3160.37239,1709.63665,both replicates,yes,0,no element,no,intergenic,4.60711585
chr2L,471301,471891,471550,MACS_peak_27-4,2085.34124,1401.88075,replicate 1,yes,0,no element,no,intergenic,4.067278951
chr2L,471901,472761,472325,MACS_peak_27-5,7393.99796,3556.31485,both replicates,yes,3,-,yes,intergenic,217.4612818
chr2L,472771,473121,472980,MACS_peak_27-6,706.455214,654.753381,replicate 1,yes,0,no element,no,promoter,50.69799103
chr2L,473131,473301,473145,MACS_peak_27-7,113.623911,114.306644,replicate 1,yes,0,no element,no,genic,66.42479359
chr2L,473311,473800,473515,MACS_peak_27-8,510.558587,1033.54824,replicate 1,no,0,no element,no,genic,16.0028885
chr2L,478141,478501,478300,MACS_peak_28-1,294.578315,750.964853,none,no,0,no element,no,genic,70.12478374
chr2L,478511,478701,478645,MACS_peak_28-2,117.282712,180.87252,replicate 1,yes,0,no element,no,genic,132.8668276
chr2L,478711,479401,479105,MACS_peak_28-3,2696.54881,2704.11799,replicate 1,yes,5,-,yes,promoter & genic,62.61140721
chr2L,479411,480051,479765,MACS_peak_28-4,13033.9634,6543.22951,both replicates,yes,3,-,yes,promoter,266.2069997
chr2L,480061,480461,480205,MACS_peak_28-5,8096.39001,3899.33802,both replicates,yes,0,no element,no,intergenic,5.972734049
chr2L,480471,481171,480895,MACS_peak_28-6,17405.5363,8354.70273,both replicates,yes,0,no element,no,intergenic,10.2939055
chr2L,481181,481881,481505,MACS_peak_28-7,5356.54619,3111.4444,both replicates,yes,2,+,yes,intergenic,2.425574899
chr2L,481891,482411,482175,MACS_peak_28-8,1930.03671,1663.46844,both replicates,yes,0,no element,no,intergenic,10.5798499
chr2L,482421,483030,482555,MACS_peak_28-9,819.771406,1569.76201,both replicates,yes,0,no element,no,intergenic,10.80416675
chr2L,483031,483291,483105,MACS_peak_29-1,223.975948,248.225816,replicate 1,yes,0,no element,no,intergenic,8.560998246
chr2L,483301,483921,483545,MACS_peak_29-2,1986.44331,1730.22522,both replicates,yes,0,no element,no,intergenic,5.5857279
chr2L,483931,483961,483945,MACS_peak_29-3,51.5432657,169.128716,replicate 1,yes,0,no element,no,intergenic,5.5142418
chr2L,483971,485341,484425,MACS_peak_29-4,3332.09377,3334.63328,both replicates,yes,0,no element,no,intergenic,3.85282065
chr2L,485351,486161,485785,MACS_peak_29-5,4082.5517,2404.90597,both replicates,yes,0,no element,no,intergenic,4.148623601
chr2L,486171,486511,486385,MACS_peak_29-6,662.714916,809.971759,replicate 1,yes,0,no element,no,intergenic,1.885738
chr2L,486521,486711,486655,MACS_peak_29-7,216.033644,289.23945,replicate 1,yes,0,no element,no,intergenic,1.967082649
chr2L,486721,487481,487085,MACS_peak_29-8,5707.81384,3341.31527,both replicates,yes,16,-,yes,intergenic,1.5085904
chr2L,487491,487991,487835,MACS_peak_29-9,6039.15863,3079.59556,both replicates,yes,4,+,yes,intergenic,5.127235651
chr2L,488001,488761,488225,MACS_peak_29-10,17398.0305,12233.3224,both replicates,yes,1,+,yes,intergenic,2.711519301
chr2L,488771,489251,488915,MACS_peak_29-11,545.460958,973.385113,replicate 1,yes,0,no element,no,intergenic,1.732907251
chr2L,489261,489501,489450,MACS_peak_29-12,169.185913,161.748668,replicate 1,yes,0,no element,no,intergenic,3.791193098
chr2L,489511,490541,490345,MACS_peak_29-13,2560.17866,3295.3915,both replicates,yes,0,no element,no,intergenic,8.092647448
chr2L,490551,491351,490805,MACS_peak_29-14,18366.2889,21600.8899,both replicates,yes,17,-,yes,intergenic,617.0921363
chr2L,491361,491791,491505,MACS_peak_29-15,1158.50616,866.813825,replicate 1,yes,0,no element,no,intergenic,54.22543278
chr2L,491801,492261,492040,MACS_peak_29-16,1808.91492,984.417259,both replicates,yes,3,+,yes,intergenic,41.65630724
chr2L,492271,492681,492435,MACS_peak_29-17,1205.85305,919.448679,both replicates,yes,0,no element,no,intergenic,42.38102685
chr2L,492691,492850,492845,MACS_peak_29-18,66.9894899,195.581302,both replicates,yes,0,no element,no,intergenic,53.24434479
chr2L,509891,510311,510195,MACS_peak_30-1,499.878706,704.600169,replicate 1,yes,0,no element,no,intergenic,44.97914961
chr2L,510321,511060,510705,MACS_peak_30-2,2642.46858,3205.6398,both replicates,yes,11,-,yes,intergenic,43.08355305
chr2L,514911,514981,514925,MACS_peak_31-1,120.136255,187.015245,none,yes,0,no element,no,intergenic,24.09553573
chr2L,514991,515431,515340,MACS_peak_31-2,468.030299,1042.34044,none,yes,0,no element,no,intergenic,22.7496348
chr2L,515441,515761,515525,MACS_peak_31-3,279.549829,472.938676,none,yes,0,no element,no,intergenic,28.44628301
chr2L,515771,516031,515910,MACS_peak_31-4,193.400316,323.826009,replicate 1,yes,0,no element,no,intergenic,16.47123927
chr2L,516041,517251,516735,MACS_peak_31-5,13591.7281,7551.04072,both replicates,yes,14,-,yes,intergenic,21.82279171
chr2L,517261,517851,517545,MACS_peak_31-6,1071.10769,1013.79175,replicate 1,yes,0,no element,no,intergenic,28.40684871
chr2L,517861,518701,518305,MACS_peak_31-7,3360.67512,2713.39243,both replicates,yes,4,+,yes,intergenic,17.3882238
chr2L,518711,519121,518965,MACS_peak_31-8,452.34169,755.031712,replicate 1,yes,1,-,yes,intergenic,22.16788749
chr2L,519131,520120,519375,MACS_peak_31-9,3524.15891,2073.68615,both replicates,yes,0,no element,no,intergenic,45.63238311
chr2L,520121,520341,520270,MACS_peak_32-1,129.786021,461.894231,replicate 1,yes,0,no element,no,intergenic,23.30918875
chr2L,520351,520761,520495,MACS_peak_32-2,563.022081,988.446221,replicate 1,yes,0,no element,no,intergenic,23.44230241
chr2L,520771,521511,521150,MACS_peak_32-3,2797.78559,2632.4823,both replicates,yes,2,+,yes,intergenic,29.15128541
chr2L,521521,522141,521775,MACS_peak_32-4,4702.31138,2638.11216,both replicates,yes,1,+,yes,intergenic,19.0200693
chr2L,522151,522811,522465,MACS_peak_32-5,3718.12138,1834.61811,both replicates,yes,4,+,yes,intergenic,28.76427914
chr2L,523041,524151,523455,MACS_peak_32-6,8844.32352,3037.31836,both replicates,yes,1,+,yes,promoter,45.36615577
chr2L,524161,524301,524175,MACS_peak_32-7,94.9103834,113.874442,replicate 1,yes,0,no element,no,genic,49.89192724
chr2L,524311,525231,524770,MACS_peak_32-8,2512.61599,1102.57502,both replicates,yes,0,no element,no,genic,43.51985215
chr2L,525241,525421,525375,MACS_peak_32-9,92.7098899,73.496312,replicate 1,yes,0,no element,no,genic,38.31374806
chr2L,525431,525640,525505,MACS_peak_32-10,173.466318,224.14777,none,yes,0,no element,no,genic,35.44939815
chr2L,544591,545341,545025,MACS_peak_33-1,2632.24521,1634.74436,both replicates,yes,0,no element,no,promoter,42.36130972
chr2L,545351,546150,545645,MACS_peak_33-2,1245.77409,657.720046,replicate 1,yes,1,+,yes,genic,7.114035398
chr2L,552001,552191,552065,MACS_peak_34-1,118.182965,187.575145,replicate 1,yes,0,no element,no,genic,6.278395548
chr2L,552201,553001,552585,MACS_peak_34-2,11063.3337,4617.3734,both replicates,yes,1,-,yes,promoter,65.22434065
chr2L,553011,553751,553425,MACS_peak_34-3,2460.01532,1685.91076,both replicates,yes,1,-,yes,intergenic,9.132887051
chr2L,553761,553820,553785,MACS_peak_34-4,81.9888474,78.5608411,none,no,0,no element,no,intergenic,6.216767997
chr2L,594331,595151,594885,MACS_peak_35-1,9395.07068,4437.70864,both replicates,yes,5,-,yes,promoter,0.22431685
chr2L,595161,595660,595260,MACS_peak_35-2,968.678282,513.895057,both replicates,yes,4,-,yes,intergenic,0.22431685
chr2L,701461,701631,701605,MACS_peak_36-1,53.4607141,79.7912127,replicate 1,yes,0,no element,no,genic,0
chr2L,701641,702310,701985,MACS_peak_36-2,2395.33615,1258.67944,replicate 1,yes,16,+,yes,genic,0
chr2L,718401,719130,718795,MACS_peak_37-1,1244.32646,732.292916,none,no,6,-,no,intergenic,0
chr2L,790441,790601,790470,MACS_peak_38-1,77.7030837,117.679474,replicate 1,no,0,no element,no,genic,0.22431685
chr2L,790631,791121,790845,MACS_peak_38-2,1634.86219,1149.76519,replicate 1,no,1,+,no,promoter,1.28427355
chr2L,791151,791350,791265,MACS_peak_38-3,124.580004,228.356645,replicate 1,no,0,no element,no,promoter,0
chr2L,825651,825811,825675,MACS_peak_39-1,62.3189817,268.933906,replicate 1,no,0,no element,no,promoter & genic,20.44731495
chr2L,825821,827101,826575,MACS_peak_39-2,8696.99435,4034.10372,both replicates,yes,13,-,yes,genic,11.7926373
chr2L,827111,827520,827245,MACS_peak_39-3,334.224634,711.092298,none,yes,0,no element,no,genic,6.320305958
chr2L,839741,840431,840130,MACS_peak_40-1,727.832517,893.387386,replicate 1,yes,0,no element,no,genic,53.31583095
chr2L,840441,841181,840885,MACS_peak_40-2,2240.10356,1174.14904,replicate 1,yes,0,no element,no,genic,61.74619183
chr2L,841191,841471,841275,MACS_peak_40-3,257.734819,260.003605,replicate 1,yes,0,no element,no,genic,65.36483675
chr2L,841481,841911,841610,MACS_peak_40-4,506.547861,305.790756,none,yes,0,no element,no,genic,30.84228209
chr2L,841921,842330,842055,MACS_peak_40-5,406.311547,274.302184,none,yes,2,-,yes,genic,30.64015876
chr2L,845161,846031,845805,MACS_peak_41-1,3154.97439,1942.82301,both replicates,yes,3,+,yes,genic,19.64125076
chr2L,846041,846291,846150,MACS_peak_41-2,259.943491,234.221251,replicate 1,yes,0,no element,no,genic,30.00664239
chr2L,846301,846561,846445,MACS_peak_41-3,415.528979,284.72173,replicate 1,yes,0,no element,no,genic,22.25909063
chr2L,846571,846951,846740,MACS_peak_41-4,441.056075,321.945807,replicate 1,yes,1,+,yes,genic,13.68823381
chr2L,846961,847100,847095,MACS_peak_41-5,101.512988,354.698091,none,yes,0,no element,no,genic,37.13053627
chr2L,847451,848131,847765,MACS_peak_42-1,2903.12815,1285.99237,both replicates,yes,0,no element,no,genic,19.40707543
chr2L,848141,848620,848485,MACS_peak_42-2,405.566184,901.923705,replicate 1,yes,0,no element,no,genic,21.50727163
chr2L,865231,865521,865395,MACS_peak_43-1,237.828514,487.109755,replicate 1,yes,0,no element,no,genic,7.55281055
chr2L,865531,866001,865845,MACS_peak_43-2,1050.02687,764.798809,replicate 1,yes,2,-,yes,promoter & genic,19.64125085
chr2L,866011,866261,866135,MACS_peak_43-3,149.170728,278.584211,replicate 1,yes,0,no element,no,promoter & genic,19.02006926
chr2L,866271,866601,866465,MACS_peak_43-4,353.796641,353.596976,none,yes,0,no element,no,genic,14.3611844
chr2L,866611,867711,867370,MACS_peak_43-5,2351.69147,2067.56741,both replicates,yes,1,-,yes,genic,10.040013
chr2L,867721,868721,868435,MACS_peak_43-6,9826.14935,5241.34052,both replicates,yes,5,+,yes,promoter,39.37370458
chr2L,868731,868921,868785,MACS_peak_43-7,254.540574,283.326444,replicate 1,yes,0,no element,no,promoter & genic,12.7515323
chr2L,868931,869131,868975,MACS_peak_43-8,193.511954,235.052591,replicate 1,yes,0,no element,no,genic,7.3999798
chr2L,869141,869370,869275,MACS_peak_43-9,155.779143,435.248636,replicate 1,yes,0,no element,no,genic,14.90102135
chr2L,1076771,1077681,1077185,MACS_peak_44-1,2164.41582,1704.161,both replicates,no,2,+,no,genic,20.79241072
chr2L,1077691,1078160,1077795,MACS_peak_44-2,616.428354,672.556574,replicate 1,no,0,no element,no,promoter & genic,347.6412575
chr2L,1102021,1102920,1102545,MACS_peak_45-1,2296.20118,1194.10223,both replicates,yes,1,+,yes,promoter,162.1882278
chr2L,1118481,1119971,1119085,MACS_peak_46-1,19316.418,12538.1853,both replicates,yes,3,+,yes,promoter & genic,315.3791126
chr2L,1119981,1120040,1120030,MACS_peak_46-2,72.590073,405.275308,none,yes,0,no element,no,genic,7.461607352
chr2L,1142771,1143470,1143115,MACS_peak_47-1,1779.85878,1249.63739,replicate 1,no,0,no element,no,promoter,85.23040344
chr2L,1157131,1157391,1157305,MACS_peak_48-1,228.624111,311.26339,replicate 1,yes,0,no element,no,genic,67.63758102
chr2L,1157401,1158621,1157865,MACS_peak_48-2,4365.43763,3103.64897,replicate 1,yes,0,no element,no,genic,403.9890352
chr2L,1158631,1159370,1159115,MACS_peak_48-3,929.456228,1871.90997,none,no,0,no element,no,genic,72.6538965
chr2L,1163441,1163521,1163460,MACS_peak_49-1,106.708964,377.832719,replicate 1,no,0,no element,no,promoter & genic,47.85088216
chr2L,1163531,1164401,1163965,MACS_peak_49-2,5641.88752,2697.14353,both replicates,no,2,-,no,promoter,112.279016
chr2L,1164411,1164810,1164665,MACS_peak_49-3,306.161382,599.194259,replicate 1,no,0,no element,no,genic,9.998102546
chr2L,1185481,1185681,1185610,MACS_peak_50-1,128.515954,91.3457431,replicate 1,yes,0,no element,no,genic,9.06140095
chr2L,1185691,1186381,1186155,MACS_peak_50-2,5576.07334,1885.29965,both replicates,yes,0,no element,no,promoter,12.61841857
chr2L,1186391,1186620,1186480,MACS_peak_50-3,155.047698,106.332448,both replicates,yes,0,no element,no,genic,8.479653552
chr2L,1187181,1187811,1187615,MACS_peak_51-1,1948.02366,1026.79805,both replicates,yes,1,+,yes,genic,0.15283075
chr2L,1187821,1187990,1187855,MACS_peak_51-2,69.7920148,26.9790673,replicate 1,yes,0,no element,no,genic,0.97861205
chr2L,1420091,1420151,1420095,MACS_peak_52-1,61.3085133,410.493696,replicate 1,no,0,no element,no,genic,39.52405895
chr2L,1420161,1420790,1420510,MACS_peak_52-2,1786.78877,1327.50664,replicate 1,no,0,no element,no,promoter,892.8412722
chr2L,1434431,1434631,1434585,MACS_peak_53-1,112.343578,189.486231,replicate 1,yes,0,no element,no,intergenic,8.980056301
chr2L,1434641,1435471,1435035,MACS_peak_53-2,2926.54671,1034.80937,both replicates,yes,4,-,yes,intergenic,7.0228322
chr2L,1435481,1435910,1435635,MACS_peak_53-3,309.180848,452.5367,replicate 1,yes,0,no element,no,intergenic,3.781334549
chr2L,1628941,1629151,1628995,MACS_peak_54-1,113.256945,146.135627,replicate 1,yes,0,no element,no,intergenic,0.3056615
chr2L,1629161,1629760,1629485,MACS_peak_54-2,1309.59401,901.779214,replicate 1,no,4,-,no,intergenic,0.672950551
chr2L,1643451,1644001,1643755,MACS_peak_55-1,1617.52927,536.67369,replicate 1,no,2,-,no,intergenic,0.52997835
chr2L,1644011,1644200,1644055,MACS_peak_55-2,86.3742698,141.270622,replicate 1,no,0,no element,no,intergenic,0.52997835
chr2L,1648661,1649361,1648940,MACS_peak_56-1,940.834727,796.251419,none,yes,11,+,yes,intergenic,1.050098151
chr2L,1649371,1649761,1649625,MACS_peak_56-2,954.494155,558.797721,both replicates,yes,0,no element,no,intergenic,0.6828091
chr2L,1649771,1650391,1650065,MACS_peak_56-3,13261.6211,8502.8126,both replicates,yes,11,+,yes,intergenic,1.35575965
chr2L,1650401,1651541,1651185,MACS_peak_56-4,11062.8143,5397.85575,both replicates,yes,9,-,yes,promoter,392.7707604
chr2L,1651551,1651771,1651690,MACS_peak_56-5,184.948281,93.3756364,replicate 1,yes,0,no element,no,genic,26.72571056
chr2L,1651781,1651891,1651815,MACS_peak_56-6,192.534565,348.876851,none,yes,0,no element,no,genic,16.70541465
chr2L,1651901,1651961,1651920,MACS_peak_56-7,138.834952,229.569354,none,yes,0,no element,no,genic,14.3611844
chr2L,1651971,1652110,1652025,MACS_peak_56-8,173.972101,222.20791,none,yes,0,no element,no,genic,11.48697585
chr2L,1653751,1654081,1653940,MACS_peak_57-1,262.166648,157.32509,replicate 1,yes,0,no element,no,genic,23.10706526
chr2L,1654091,1654820,1654425,MACS_peak_57-2,1198.09534,345.718132,replicate 1,yes,1,-,yes,genic,11.31195174
chr2L,1655931,1656141,1655965,MACS_peak_58-1,128.311045,56.2714249,replicate 1,yes,0,no element,no,genic,14.48443955
chr2L,1656151,1656611,1656360,MACS_peak_58-2,1267.68159,816.094316,both replicates,yes,4,-,yes,genic,11.37605555
chr2L,1656621,1656770,1656715,MACS_peak_58-3,38.9094989,23.5549648,replicate 1,yes,0,no element,no,genic,9.2142317
chr2L,1662391,1662911,1662730,MACS_peak_59-1,632.802821,610.536392,replicate 1,no,0,no element,no,genic,9.071259499
chr2L,1662921,1663631,1663315,MACS_peak_59-2,2623.2034,1789.07668,both replicates,no,14,+,no,genic,6.187192351
chr2L,1663641,1663780,1663710,MACS_peak_59-3,206.77493,175.036249,replicate 1,no,0,no element,no,genic,8.928287297
chr2L,1665391,1665740,1665535,MACS_peak_60-1,429.102174,226.063513,replicate 1,no,0,no element,no,genic,8.642342895
chr2L,1666351,1666531,1666495,MACS_peak_61-1,77.443922,89.4554608,none,yes,0,no element,no,genic,9.825554699
chr2L,1666541,1666821,1666685,MACS_peak_61-2,259.097555,313.118384,none,yes,0,no element,no,genic,6.187192351
chr2L,1666831,1667111,1666965,MACS_peak_61-3,478.360648,142.414848,none,yes,0,no element,no,genic,8.980056301
chr2L,1667121,1667371,1667160,MACS_peak_61-4,165.390571,81.0640584,replicate 1,yes,0,no element,no,genic,12.38424325
chr2L,1667381,1668040,1667635,MACS_peak_61-5,2564.62661,1254.035,both replicates,yes,1,+,yes,promoter & genic,14.48196329
chr2L,1668451,1668631,1668465,MACS_peak_62-1,52.1364436,173.889986,none,yes,0,no element,no,genic,9.386779547
chr2L,1668641,1669071,1668870,MACS_peak_62-2,522.322795,297.579326,replicate 1,yes,0,no element,no,genic,19.58948185
chr2L,1669081,1669351,1669295,MACS_peak_62-3,254.532865,197.728813,replicate 1,yes,0,no element,no,genic,12.84273545
chr2L,1669361,1670120,1669585,MACS_peak_62-4,2467.6689,1300.25173,replicate 1,yes,4,+,yes,genic,10.3456745
chr2L,1689811,1690461,1690175,MACS_peak_63-1,1046.55697,954.527479,replicate 1,no,0,no element,no,genic,7.949675247
chr2L,1690471,1690550,1690540,MACS_peak_63-2,68.8160902,252.729673,replicate 1,no,0,no element,no,genic,6.034361601
chr2L,1692951,1693581,1693405,MACS_peak_64-1,845.267549,550.137793,replicate 1,yes,0,no element,no,genic,6.736887798
chr2L,1693591,1694101,1693905,MACS_peak_64-2,658.173238,553.237636,replicate 1,yes,2,+,yes,genic,10.0597301
